,Crop,Crop(ID),Soil_Type,Soil_Type(ID),Nitrogen,Phosphorus,Kalium,Temperature
65,Rice,Beras,Red,Merah,100.0,50.0,50.0,30.0
66,Rice,Beras,Saline,Asin,74.485,47.230000000000004,53.9,27.315
67,Rice,Beras,Sandy,Berpasir,76.42,49.09,55.59,26.66
68,Rice,Beras,Silt,Endapan,77.99,48.86,56.22,26.66
69,Soybean,Kedelai,Black,Hitam,50.0,35.0,25.0,25.0
70,Sugarcane,Tebu,Black,Hitam,130.0,70.0,125.0,29.8
71,Sugarcane,Tebu,Clay,Lempung,78.8,46.18,59.82,27.35
72,Sugarcane,Tebu,Clayey,Lempung,13.0,18.0,2.0,30.48
73,Sugarcane,Tebu,Loamy,Lempung Berpasir,55.89,35.95,40.5,28.68
74,Sugarcane,Tebu,Peaty,Gambut,81.8,49.63,58.42,26.09
75,Sugarcane,Tebu,Red,Merah,15.0,16.0,1.0,30.12
76,Sugarcane,Tebu,Reddish Brown,Cokelat Kemerahan,135.0,70.0,90.0,25.0
77,Sugarcane,Tebu,Saline,Asin,80.87,46.675,55.405,27.015
78,Sugarcane,Tebu,Sandy,Berpasir,53.47,36.0,41.05,28.58
79,Sugarcane,Tebu,Silt,Endapan,81.38,44.4,57.01,27.1
80,Tobacco,Tembakau,Black,Hitam,14.0,17.0,2.0,29.744999999999997
81,Tobacco,Tembakau,Clayey,Lempung,14.0,18.0,1.0,29.75
82,Tobacco,Tembakau,Loamy,Lempung Berpasir,14.0,16.0,1.0,29.884999999999998
83,Tobacco,Tembakau,Red,Merah,14.0,19.0,2.0,29.94
84,Tobacco,Tembakau,Sandy,Berpasir,15.0,18.0,2.0,30.28
85,Tomato,Tomat,Clay,Lempung,72.55,48.83,54.78,28.0
86,Tomato,Tomat,Loamy,Lempung Berpasir,78.67,48.370000000000005,51.185,27.795
87,Tomato,Tomat,Peaty,Gambut,75.975,47.19,57.614999999999995,27.44
88,Tomato,Tomat,Saline,Asin,79.66,45.12,55.74,27.0
89,Tomato,Tomat,Sandy,Berpasir,77.315,47.39,54.335,28.59
90,Tomato,Tomat,Silt,Endapan,73.69999999999999,43.475,54.295,28.035
91,Tur,Kacang Toor,Dark Brown,Cokelat Tua,25.0,35.0,17.5,25.0
92,Tur,Kacang Toor,Red,Merah,45.0,30.0,25.0,30.0
93,Tur,Kacang Toor,Reddish Brown,Cokelat Kemerahan,35.0,50.0,25.0,30.0
94,Turmeric,Kunyit,Black,Hitam,25.0,25.0,45.0,25.0
95,Turmeric,Kunyit,Red,Merah,55.0,55.0,45.0,25.0
96,Urad,Kacang Hitam,Black,Hitam,62.5,35.0,25.0,30.0
97,Urad,Kacang Hitam,Dark Brown,Cokelat Tua,25.0,35.0,25.0,20.0
98,Wheat,Gandum,Black,Hitam,65.0,43.0,40.0,25.0
99,Wheat,Gandum,Clay,Lempung,79.81,50.74,56.57,27.08
100,Wheat,Gandum,Clayey,Lempung,15.0,17.0,1.0,30.22
101,Wheat,Gandum,Dark Brown,Cokelat Tua,100.0,55.0,50.0,20.0
102,Wheat,Gandum,Loamy,Lempung Berpasir,59.52,38.0,44.73,28.38
103,Wheat,Gandum,Peaty,Gambut,84.99,46.55,57.35,28.07
104,Wheat,Gandum,Red,Merah,38.0,40.0,14.0,27.54
105,Wheat,Gandum,Reddish Brown,Cokelat Kemerahan,110.0,55.0,45.0,15.0
106,Wheat,Gandum,Saline,Asin,79.00999999999999,51.120000000000005,52.36,27.215
107,Wheat,Gandum,Sandy,Berpasir,61.69,40.0,42.02,28.65
108,Wheat,Gandum,Silt,Endapan,75.09,52.48,55.37,26.92
